City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
8,natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
9,kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,arraial do cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
13,amethi,IN,76.24,clear sky,26.15,81.8167,Taj Hotel
14,vanimo,PG,81.46,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
15,rikitea,PF,75.09,scattered clouds,-23.1203,-134.9692,People ThankYou
19,hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
20,nicoya,CR,85.69,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
32,sao jose da coroa grande,BR,78.96,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
33,dori,BF,88.23,overcast clouds,14.0354,-0.0345,Hôtel Liptako
39,isangel,VU,84.43,broken clouds,-19.55,169.2667,Tanna Lodge
41,kayan,MM,78.94,broken clouds,16.9056,96.5631,ဖြိုးရတနာ ရွှေဆိုင်
42,hilo,US,78.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,souillac,MU,75.58,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
52,chabahar,IR,77.97,clear sky,25.2919,60.643,هتل گدروشیا
58,phan thiet,VN,76.26,overcast clouds,10.9333,108.1,Hotel Saigon-PT
59,san patricio,US,80.19,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
60,soyo,AO,79.09,light rain,-6.1349,12.3689,Hotel Mpampa
66,ransang,PH,79.34,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
74,georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
76,hobyo,SO,81.01,clear sky,5.3505,48.5268,Iftin hotel hobyo
80,atar,MR,77.59,few clouds,20.5169,-13.0499,Oumou Elghoura
89,waingapu,ID,78.44,clear sky,-9.6567,120.2641,Pondok Wisata Elim
91,bengkulu,ID,75.25,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,bambous virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
102,puerto escondido,MX,83.66,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
106,faanui,PF,80.78,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,port-gentil,GA,78.42,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
108,gizo,SB,80.4,overcast clouds,-8.103,156.8419,Imagination Island
109,vung tau,VN,80.8,overcast clouds,10.346,107.0843,Seaside Resort
112,samarai,PG,80.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
122,grand gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
124,pokaran,IN,80.19,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
127,puerto ayora,EC,82.36,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
128,galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
131,honiara,SB,82.56,overcast clouds,-9.4333,159.95,Heritage Park Hotel
134,karratha,AU,82.6,clear sky,-20.7377,116.8463,ibis Styles Karratha
135,cabo san lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,seguela,CI,77.09,light rain,7.9611,-6.6731,Hotel le Carrefour
138,namatanai,PG,76.3,heavy intensity rain,-3.6667,152.4333,Seagulls Inn Namatani
142,mount pleasant,US,77.14,clear sky,32.7941,-79.8626,Best Western Patriots Point
146,amahai,ID,79.65,broken clouds,-3.3333,128.9167,HOTEL ISABELA
148,atuona,PF,78.98,light rain,-9.8,-139.0333,Villa Enata
149,port blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
151,hithadhoo,MV,82.29,clear sky,-0.6,73.0833,Scoop Guest House
158,araci,BR,76.82,broken clouds,-11.3333,-38.9667,Pousada Posto Rodagem II
167,butaritari,KI,82.24,broken clouds,3.0707,172.7902,Isles Sunset Lodge
168,lorengau,PG,78.84,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
172,maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
179,matara,LK,76.96,light rain,5.9485,80.5353,Amaloh Boutique Resort
185,meulaboh,ID,77.85,light rain,4.1363,96.1285,Kost Pria
190,kahului,US,86.02,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
195,noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
199,madang,PG,80.15,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
206,avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
208,cap malheureux,MU,76.46,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
209,la asuncion,VE,77.34,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
218,norsup,VU,81.28,light rain,-16.0667,167.3833,Nabelchel Bungalows
220,sao joao da barra,BR,76.62,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
223,roebourne,AU,82.11,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
228,quatre cocos,MU,76.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
232,sibi,PK,81.03,clear sky,29.5448,67.8764,Jail Superintendent House
235,culiacancito,MX,84.45,scattered clouds,24.8247,-107.5331,Nadia karime osuna cazares
237,sabya,SA,78.42,clear sky,17.1495,42.6254,Aseel Hotel Apartment
241,buritizeiro,BR,79.0,scattered clouds,-17.3511,-44.9622,Santos Palace Hotel
244,warner robins,US,75.36,clear sky,32.621,-83.5999,Super 8 by Wyndham Warner Robins
245,bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
247,raichur,IN,83.26,few clouds,16.2,77.3667,Hotel CM Residency
252,comodoro rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
260,umm lajj,SA,79.93,clear sky,25.0213,37.2685,Moon light Furnished Units
261,alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
264,dhidhdhoo,MV,82.6,scattered clouds,6.8833,73.1,Dhidhoo beach
267,port hedland,AU,78.85,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
276,kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
277,ciudad ojeda,VE,85.93,scattered clouds,10.1964,-71.3082,Hotel América
281,arawa,PG,76.62,moderate rain,-6.2132,155.5367,Coastline Guest House
