City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2022-03-31 17:58:42,-33.8667,121.9,64.24,79,100,19.06
1,Salalah,OM,2022-03-31 17:55:21,17.0151,54.0924,80.49,41,0,1.52
2,Pompeu,BR,2022-03-31 17:58:42,-19.2244,-44.9353,88.77,34,3,1.63
3,Omaruru,NA,2022-03-31 17:58:43,-21.4333,15.9333,75.83,55,90,4.83
4,Arraial Do Cabo,BR,2022-03-31 17:58:43,-22.9661,-42.0278,84.16,78,20,12.66
5,Gaoua,BF,2022-03-31 17:58:44,10.2992,-3.2508,96.96,26,74,6.58
6,Hilo,US,2022-03-31 17:57:12,19.7297,-155.09,75.61,92,1,1.01
7,Okoneshnikovo,RU,2022-03-31 17:58:44,54.8377,75.0834,34.34,86,100,15.39
8,Ribeira Grande,PT,2022-03-31 17:58:45,38.5167,-28.7,64.8,88,40,10.36
9,Polyarnyy,RU,2022-03-31 17:58:45,69.1989,33.4478,24.15,84,100,10.33
10,Kapaa,US,2022-03-31 17:55:35,22.0752,-159.319,75.18,91,12,3.0
11,Severo-Kurilsk,RU,2022-03-31 17:58:45,50.6789,156.125,29.34,88,92,18.7
12,Roald,NO,2022-03-31 17:58:46,62.5833,6.1333,37.0,80,0,2.3
13,Tecate,MX,2022-03-31 17:58:46,32.5667,-116.6333,59.54,83,56,6.89
14,Jamestown,US,2022-03-31 17:58:47,42.097,-79.2353,66.52,56,100,26.46
15,Nauta,PE,2022-03-31 17:58:47,-4.5061,-73.5757,89.49,56,95,2.95
16,Charters Towers,AU,2022-03-31 17:58:48,-20.1,146.2667,69.04,55,0,0.38
17,Yellowknife,CA,2022-03-31 17:57:48,62.456,-114.3525,17.42,79,100,10.36
18,Nikolskoye,RU,2022-03-31 17:58:48,59.7035,30.7861,28.29,94,53,1.99
19,Cape Town,ZA,2022-03-31 17:58:48,-33.9258,18.4232,66.34,73,28,5.99
20,Bredasdorp,ZA,2022-03-31 17:58:49,-34.5322,20.0403,62.22,66,94,5.99
21,Havre-Saint-Pierre,CA,2022-03-31 17:58:49,50.2334,-63.5986,37.76,60,0,8.05
22,Saskylakh,RU,2022-03-31 17:58:50,71.9167,114.0833,3.7,98,100,5.39
23,Punta Arenas,CL,2022-03-31 17:56:17,-53.15,-70.9167,53.71,47,75,24.16
24,Rikitea,PF,2022-03-31 17:58:50,-23.1203,-134.9692,77.74,68,60,16.98
25,La Rochelle,FR,2022-03-31 17:54:59,46.1667,-1.15,41.07,75,100,21.85
26,Ushuaia,AR,2022-03-31 17:57:13,-54.8,-68.3,51.42,62,40,11.5
